service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AFA23GEN-1038-Sunday-00,0,0,0,0,0,0,1,20231217,20240616
AFA23GEN-1039-Saturday-00,0,0,0,0,0,1,0,20231223,20240622
AFA23GEN-1092-Weekday-00_C24,1,1,1,1,1,0,0,20231218,20240621
AFA23GEN-2042-Saturday-00_C25,0,0,0,0,0,1,0,20231223,20240622
AFA23GEN-2048-Sunday-00,0,0,0,0,0,0,1,20231217,20240616
AFA23GEN-2099-Weekday-00_C10,1,1,1,1,1,0,0,20231218,20240621
AFA23GEN-3039-Saturday-00,0,0,0,0,0,1,0,20231223,20240622
AFA23GEN-3041-Sunday-00,0,0,0,0,0,0,1,20231217,20240616
AFA23GEN-3091-Weekday-00_C46,1,1,1,1,1,0,0,20231218,20240621
AFA23GEN-4043-Saturday-00_C16,0,0,0,0,0,1,0,20231223,20240622
AFA23GEN-4049-Sunday-00,0,0,0,0,0,0,1,20231217,20240616
AFA23GEN-4103-Weekday-00,1,1,1,1,1,0,0,20231218,20240621
AFA23GEN-5043-Saturday-00_C42,0,0,0,0,0,1,0,20231223,20240622
AFA23GEN-5048-Sunday-00,0,0,0,0,0,0,1,20231217,20240616
AFA23GEN-5112-Weekday-00_C43,1,1,1,1,1,0,0,20231218,20240621
AFA23GEN-6031-Sunday-00,0,0,0,0,0,0,1,20231217,20240616
AFA23GEN-6034-Saturday-00_C35,0,0,0,0,0,1,0,20231223,20240622
AFA23GEN-6089-Weekday-00_C3,1,1,1,1,1,0,0,20231218,20240621
AFA23GEN-7024-Saturday-00_C33,0,0,0,0,0,1,0,20231223,20240622
AFA23GEN-7026-Sunday-00_C48,0,0,0,0,0,0,1,20231217,20240616
AFA23GEN-7064-Weekday-00_C31,1,1,1,1,1,0,0,20231218,20240621
AFA23GEN-GS013-Saturday-00,0,0,0,0,0,1,0,20231223,20240622
AFA23GEN-GS013-Sunday-00,0,0,0,0,0,0,1,20231217,20240616
AFA23GEN-GS022-Weekday-00,1,1,1,1,1,0,0,20231218,20240621
BFA23GEN-A046-Saturday-00_C49,0,0,0,0,0,1,0,20231223,20240622
BFA23GEN-A054-Sunday-00_C15,0,0,0,0,0,0,1,20231217,20240616
BFA23GEN-A086-Weekday-00_C19,1,1,1,1,1,0,0,20231218,20240621
BFA23GEN-B084-Weekday-00_C14,1,1,1,1,1,0,0,20231218,20240621
BFA23GEN-C026-Saturday-00_C32,0,0,0,0,0,1,0,20231223,20240622
BFA23GEN-C028-Sunday-00_C26,0,0,0,0,0,0,1,20231217,20240616
BFA23GEN-C056-Weekday-00_C54,1,1,1,1,1,0,0,20231218,20240621
BFA23GEN-D039-Saturday-00_C36,0,0,0,0,0,1,0,20231223,20240622
BFA23GEN-D042-Sunday-00_C20,0,0,0,0,0,0,1,20231217,20240616
BFA23GEN-D080-Weekday-00_C18,1,1,1,1,1,0,0,20231218,20240621
BFA23GEN-E043-Saturday-00_C21,0,0,0,0,0,1,0,20231223,20240622
BFA23GEN-E049-Sunday-00_C55,0,0,0,0,0,0,1,20231217,20240616
BFA23GEN-E075-Weekday-00_C27,1,1,1,1,1,0,0,20231218,20240621
BFA23GEN-F045-Saturday-00_C5,0,0,0,0,0,1,0,20231223,20240622
BFA23GEN-F049-Sunday-00_C23,0,0,0,0,0,0,1,20231217,20240616
BFA23GEN-F077-Weekday-00_C2,1,1,1,1,1,0,0,20231218,20240621
BFA23GEN-FS011-Saturday-00,0,0,0,0,0,1,0,20231223,20240622
BFA23GEN-FS011-Weekday-00,1,1,1,1,1,0,0,20231218,20240621
BFA23GEN-FS012-Sunday-00,0,0,0,0,0,0,1,20231217,20240616
BFA23GEN-G037-Saturday-00_C1,0,0,0,0,0,1,0,20231223,20240622
